Subject,Question,A,B,C,D,Answer
Hindi,'अनुमान' में उपसर्ग है?,अ,अनु,अन,मान,b
Hindi,'घबराहट' में प्रत्यय है?,हट,आहट,राहट,त,b
Hindi,'सूर्य' का पर्यायवाची नहीं है?,रवि,भानु,दिनकर,मयंक,d
Hindi,'रात' का पर्यायवाची है?,निशा,दिन,सवेरा,प्रभा,a
Hindi,'उदय' का विलोम शब्द है?,अस्त,अंत,नाश,सवेरा,a
Hindi,'सज्जन' का विलोम शब्द है?,दुर्जन,पापी,बुरा,शत्रु,a
Hindi,निम्न में अशुद्ध शब्द कौन सा है?,उज्ज्वल,शृंगार,कवयित्री,आधीन,d
Hindi,'श्रीमान' का शुद्ध रूप है?,श्रीमान्,श्रीमान,सरीमान,श्रीमन,a
Hindi,'आँखों में धूल झोंकना' मुहावरे का अर्थ है?,धोखा देना,मारना,सहायता करना,दिखाई न देना,a
Hindi,'गागर में सागर भरना' का अर्थ है?,कम शब्दों में अधिक कहना,मटका भरना,व्यर्थ बोलना,अधिक बोलना,a
Hindi,जिसका कोई शत्रु न हो?,अजातशत्रु,शत्रुघ्न,मित्र,निडर,a
Hindi,जो ईश्वर में विश्वास रखता हो?,आस्तिक,नास्तिक,भक्त,साधु,a
Hindi,'अग्नि' का तद्भव रूप है?,आग,अनल,पावक,अग्नी,a
Hindi,'खेत' का तत्सम रूप है?,क्षेत्र,क्षेत,स्थान,भूमि,a
Hindi,'पवन' का संधि विच्छेद है?,पो + अन,पौ + अन,प + वन,पा + वन,a
Hindi,'सदैव' में कौन सी संधि है?,गुण,वृद्धि,दीर्घ,यण,b
Hindi,'नीलकंठ' में समास है?,बहुव्रीहि,द्विगु,द्वंद्व,तत्पुरुष,a
Hindi,'माता-पिता' में कौन सा समास है?,द्वंद्व,द्विगु,तत्पुरुष,कर्मधारय,a
Hindi,'अपमान' में उपसर्ग है?,अप,अ,मान,अपा,a
Hindi,'मिठास' में प्रत्यय है?,आस,टास,स,मीठा,a
Hindi,'हवा' का पर्यायवाची है?,समीर,सलिल,अनल,पावक,a
Hindi,'जंगल' का पर्यायवाची नहीं है?,वन,कानन,विपिन,वाटिका,d
Hindi,'हर्ष' का विलोम शब्द है?,शोक,दुःख,विषाद,सभी,d
Hindi,'संयोग' का विलोम शब्द है?,वियोग,अयोग,कुयोग,प्रयोग,a
Hindi,शुद्ध वाक्य छाँटिए?,राम ने रोटी खाया,राम ने रोटी खाई,राम रोटी खाया,राम ने रोटी खायी,b
Hindi,'अंधे की लाठी' मुहावरे का अर्थ है?,एकमात्र सहारा,अंधा व्यक्ति,लाठी चलाना,असहाय होना,a
Hindi,'लोहे के चने चबाना' का अर्थ है?,कठिन परिश्रम करना,भूखा रहना,चना खाना,युद्ध करना,a
Hindi,जो कम बोलता हो?,मितभाषी,वाचाल,मूक,गूँगा,a
Hindi,'दंत' का तद्भव रूप है?,दाँत,दन्त,दांत,दंता,c
Hindi,'मयूर' का तद्भव रूप है?,मोर,मार,मयूरा,मुकुट,a
Hindi,'जगदीश' का संधि विच्छेद है?,जगत + ईश,जगत् + ईश,जग + दीश,जग् + ईश,b
Hindi,'निराशा' में संधि है?,विसर्ग,स्वर,व्यंजन,कोई नहीं,a
Hindi,'प्रतिदिन' में समास है?,अव्ययीभाव,द्वंद्व,तत्पुरुष,द्विगु,a
Hindi,'चौराहा' में समास है?,द्विगु,द्वंद्व,बहुव्रीहि,तत्पुरुष,a
Hindi,'विज्ञान' में उपसर्ग है?,वि,विज्ञ,ज्ञान,अन,a
Hindi,'बुढ़ापा' में प्रत्यय है?,पा,आपा,अपा,प,a
Hindi,'आकाश' का पर्यायवाची है?,गगन,धरा,पाताल,जल,a
Hindi,'पुत्र' का पर्यायवाची नहीं है?,सुत,तनय,आत्मज,अनुज,d
Hindi,'सार्थक' का विलोम है?,निरर्थक,व्यर्थ,अनर्थ,सफल,a
Hindi,'आस्तिक' का विलोम है?,नास्तिक,साधु,ईश्वर,भक्त,a
Hindi,निम्न में शुद्ध शब्द है?,सन्यासी,संन्यासी,सन्यासि,संयासी,b
Hindi,'कान भरना' मुहावरे का अर्थ है?,चुगली करना,साफ करना,कान में दवा डालना,सुनना,a
Hindi,'घोड़े बेचकर सोना' का अर्थ है?,निश्चिंत होना,व्यापार करना,घोड़ा बेचना,नींद न आना,a
Hindi,जिसका आदि न हो?,अनादि,अनंत,अमर,आदि,a
Hindi,जो कभी न मरे?,अमर,अजर,नश्वर,मृत,a
Hindi,'ग्राम' का तद्भव रूप है?,गाँव,गांम,गरम,गिरा,a
Hindi,'दुग्ध' का तद्भव रूप है?,दूध,दही,छाछ,घी,a
Hindi,'मनोरथ' का संधि विच्छेद है?,मनः + रथ,मनो + रथ,मन + रथ,मनस + रथ,a
Hindi,'पावक' में संधि है?,अयादि,यण,गुण,वृद्धि,a
Hindi,'महापुरुष' में समास है?,कर्मधारय,तत्पुरुष,बहुव्रीहि,द्विगु,a
Hindi,'भाई-बहन' में समास है?,द्वंद्व,द्विगु,तत्पुरुष,अव्ययीभाव,a
Hindi,'पराजय' में उपसर्ग है?,पर,परा,प,जय,b
Hindi,'सजावट' में प्रत्यय है?,वट,आवट,टा,सज,a
Hindi,'पानी' का पर्यायवाची है?,वारी,क्षीर,दुग्ध,घृत,a
Hindi,'पृथ्वी' का पर्यायवाची नहीं है?,भूमि,धरा,वसुधा,तरंगिणी,d
Hindi,'उपकार' का विलोम है?,अपकार,परोपकार,सत्कार,निरादर,a
Hindi,'स्वाधीन' का विलोम है?,पराधीन,गुलाम,स्वतंत्र,मुक्त,a
Hindi,शुद्ध शब्द है?,श्रीमती,श्रीमतী,श्रीमति,श्रीमत,a
Hindi,'दाँत खट्टे करना' मुहावरे का अर्थ है?,हराना,खट्टा खाना,लड़ाई करना,नाराज होना,a
Hindi,'हाथ मलना' का अर्थ है?,पछताना,सर्दी लगना,हाथ धोना,खुश होना,a
Hindi,जो दिखाई न दे?,अदृश्य,दृश्य,गोचर,प्रकट,a
Hindi,जिसके आने की तिथि न हो?,अतिथि,मेहमान,आगंतुक,पाहुना,a
Hindi,'कर्पूर' का तद्भव रूप है?,कपूर,कपड़ा,करकट,कपास,a
Hindi,'सत्य' का तद्भव रूप है?,सच,सांच,सत,सही,a
Hindi,'देवेंद्र' का संधि विच्छेद है?,देव + इंद्र,देवे + इंद्र,देव + ईंद्र,दाव + इंद्र,a
Hindi,'नमस्ते' में संधि है?,विसर्ग,व्यंजन,स्वर,अयादि,a
Hindi,'लंबोदर' में समास है?,बहुव्रीहि,कर्मधारय,तत्पुरुष,द्वंद्व,a
Hindi,'भरपेट' में समास है?,अव्ययीभाव,तत्पुरुष,द्विगु,कर्मधारय,a
Hindi,'सुपुत्र' में उपसर्ग है?,सु,स,पुत्र,सपु,a
Hindi,'मिठाई' में प्रत्यय है?,आई,ई,ठाई,मीठा,a
Hindi,'चाँद' का पर्यायवाची है?,शशि,रवि,भानु,दिनकर,a
Hindi,'फूल' का पर्यायवाची नहीं है?,पुष्प,कुसुम,सुमन,तनुजा,d
Hindi,'जड़' का विलोम है?,चेतन,तना,पत्ता,वृक्ष,a
Hindi,'न्याय' का विलोम है?,अन्याय,फैसला,दंड,कानून,a
Hindi,'शिक्षक' का शुद्ध स्त्रीलिंग है?,शिक्षिका,शिक्षीका,शिक्षकानी,मास्टरनी,a
Hindi,'अपना उल्लू सीधा करना' का अर्थ है?,स्वार्थ सिद्ध करना,उल्लू पालना,मूर्ख बनाना,काम करना,a
