Subject,Question,A,B,C,D,Answer
PTET Hindi,आकाश-पाताल एक करना मुहावरे का अर्थ है?,कठिन परिश्रम करना,बड़ी-बड़ी बातें करना,घमंड करना,व्यर्थ प्रयास करना,a
PTET Hindi,दिन-रात में कौन सा समास है?,द्विगु,द्वंद्व,तत्पुरुष,कर्मधारय,b
PTET Hindi,पुत्र का पर्यायवाची नहीं है?,सुत,तनय,आत्मज,अग्रज,d
PTET Hindi,अन्वय का सही संधि विच्छेद है?,अनु + अय,अन + अय,अनु + आय,अन् + अय,a
PTET Hindi,गुरु का विलोम शब्द है?,शिष्य,लघु,महान,अध्यापक,b (लघु श्रेष्ठ विलोम है)
PTET Hindi,प्रत्युपकार में कौन सा उपसर्ग है?,प्र,प्रति,प्रत्य,उप,b
PTET Hindi,नयन में कौन सी संधि है?,अयादि,गुण,वृद्धि,यण,a
PTET Hindi,जिसे जीता न जा सके?,अजेय,अमर,अखंड,अनंत,a
PTET Hindi,हाथ कंगन को आरसी क्या लोकोक्ति का अर्थ है?,प्रत्यक्ष को प्रमाण की आवश्यकता नहीं,सुंदर व्यक्ति को गहने की जरूरत नहीं,पढ़ा लिखा न होना,दर्पण देखना,a
PTET Hindi,श्रीगणेश का विलोम शब्द है?,इतिश्री,विनाश,समापन,अंत,a
PTET Hindi,दशानन में कौन सा समास है?,कर्मधारय,बहुव्रीहि,द्विगु,तत्पुरुष,b
PTET Hindi,शुद्ध वर्तनी वाला शब्द छांटिए?,कवयित्री,कवियत्री,कवित्री,कवीयत्री,a
PTET Hindi,परोपकार में कौन सी संधि है?,गुण,वृद्धि,विसर्ग,व्यंजन,a
PTET Hindi,सूर्य का पर्यायवाची है?,दिनकर,निशाकर,सुधाकर,रजनीश,a
PTET Hindi,जंगम का विलोम शब्द है?,स्थावर,अगम,दुर्गम,चंचल,a
PTET Hindi,घी के दिए जलाना मुहावरे का अर्थ है?,रोशनी करना,खुशियां मनाना,अमीर होना,दान करना,b
PTET Hindi,वनवास में कौन सा समास है?,तत्पुरुष,कर्मधारय,द्वंद्व,बहुव्रीहि,a
PTET Hindi,प्रत्येक का संधि विच्छेद है?,प्रति + एक,प्र + एक,प्रति + अक,प्रत्य + एक,a
PTET Hindi,जो दिखाई न दे?,अदृश्य,गोचर,दृश्य,प्रकट,a
PTET Hindi,आँख का पर्यायवाची है?,लोचन,वसन,अंबर,पावक,a
PTET Hindi,अत्याचार में उपसर्ग है?,अति,अत,आ,अत्य,a
PTET Hindi,मिठास शब्द में प्रत्यय है?,ास,आस,स,मीठा,b
PTET Hindi,जगदीश का संधि विच्छेद?,जगत + ईश,जगत् + ईश,जग + दीश,जग् + ईश,b
PTET Hindi,मुख का विलोम है?,वाचाल,गौण,मूक,विमुख,a (प्रश्न संदर्भ पर निर्भर, वाचाल-मूक सही जोड़ी है। मुख का पृष्ठ या प्रतिमुख। प्रश्न बदलें: मूक का विलोम?,वाचाल,गौण,शांत,स्थिर,a)
PTET Hindi,नौ दो ग्यारह होना मुहावरे का अर्थ?,गिनती करना,भाग जाना,इकट्ठा होना,लड़ाई करना,b
PTET Hindi,त्रिफला में समास है?,द्विगु,द्वंद्व,तत्पुरुष,कर्मधारय,a
PTET Hindi,उज्ज्वल का संधि विच्छेद?,उत + ज्वल,उज् + ज्वल,उद + ज्वल,उत + जवल,a
PTET Hindi,ईश्वर में विश्वास रखने वाला?,आस्तिक,नास्तिक,भक्त,साधु,a
PTET Hindi,सरस्वती का पर्यायवाची नहीं है?,वीणापाणि,शारदा,भारती,पद्मा,d
PTET Hindi,अनुमान में उपसर्ग है?,अ,अनु,अन,मान,b
PTET Hindi,लंबोदर में समास है?,बहुव्रीहि,कर्मधारय,द्विगु,द्वंद्व,a
PTET Hindi,निरर्थक का विलोम?,सार्थक,सफल,उपयोगी,व्यर्थ,a
PTET Hindi,गागर में सागर भरना?,थोड़े में बहुत कहना,मटका भरना,व्यर्थ बोलना,कविता करना,a
PTET Hindi,मनोहर में कौन सी संधि है?,विसर्ग,गुण,व्यंजन,दीर्घ,a
PTET Hindi,सप्ताह में कौन सा समास है?,द्विगु,द्वंद्व,तत्पुरुष,कर्मधारय,a
PTET Hindi,अतिथि का पर्यायवाची?,पाहुना,आगंतुक,मेहमान,उपर्युक्त सभी,d
PTET Hindi,घबराहट में प्रत्यय है?,हट,आहट,राहट,त,b
PTET Hindi,सदैव में संधि है?,वृद्धि,गुण,दीर्घ,यण,a
PTET Hindi,जिसका कोई शत्रु न हो?,अजातशत्रु,शत्रुघ्न,निडर,मित्र,a
PTET Hindi,ईद का चाँद होना?,बहुत सुंदर होना,बहुत दिनों बाद दिखाई देना,त्योहार मनाना,नाराज होना,b
PTET Hindi,शुद्ध शब्द है?,आशीर्वाद,आशिर्वाद,आरशीवाद,आसीर्वाद,a
PTET Hindi,पवन का संधि विच्छेद?,पो + अन,पौ + अन,प + वन,पा + वन,a
PTET Hindi,राजपुत्र में समास है?,तत्पुरुष,कर्मधारय,द्विगु,बहुव्रीहि,a
PTET Hindi,हवा का पर्यायवाची?,समीर,सलिल,अनल,धरा,a
PTET Hindi,स्वाधीन का विलोम?,पराधीन,गुलाम,स्वतंत्र,मुक्त,a
PTET Hindi,अपना उल्लू सीधा करना?,मूर्ख बनाना,स्वार्थ सिद्ध करना,उल्लू पालना,रात में जागना,b
PTET Hindi,देवेन्द्र में संधि है?,गुण,वृद्धि,दीर्घ,अयादि,a
PTET Hindi,पंचवटी में समास है?,द्विगु,बहुव्रीहि,द्वंद्व,तत्पुरुष,a (द्विगु और बहुव्रीहि दोनों हो सकते हैं, विकल्प पर निर्भर। सामान्यतः द्विगु)
PTET Hindi,जो कम बोलता हो?,मितभाषी,वाचाल,मूक,गूँगा,a
PTET Hindi,अलंकार में उपसर्ग है?,अलम्,अल,अ,अलन्,a
PTET Hindi,बुढ़ापा में प्रत्यय है?,पा,आपा,अपा,प,a
PTET Hindi,सूर्य का विलोम?,(अनुपयुक्त प्रश्न, छोड़ें) -> उत्थान का विलोम?,पतन,नीचे,गिरना,उन्नति,a
PTET Hindi,आँखों में धूल झोंकना?,धोखा देना,सहायता करना,मारना,दिखाई न देना,a
PTET Hindi,दिगंबर का संधि विच्छेद?,दिक + अंबर,दिग् + अंबर,दिग + अंबर,दिक + अम्बर,a (दिक् + अम्बर)
PTET Hindi,भाई-बहन में समास है?,द्वंद्व,द्विगु,तत्पुरुष,अव्ययीभाव,a
PTET Hindi,पृथ्वी का पर्यायवाची?,वसुधा,तनुजा,भार्या,दुहिता,a
PTET Hindi,विज्ञान में उपसर्ग है?,वि,विज्ञ,ज्ञान,अन,a
PTET Hindi,महर्षि में संधि है?,गुण,दीर्घ,वृद्धि,यण,a
PTET Hindi,हाथ मलना?,पछताना,सर्दी लगना,खुश होना,हाथ धोना,a
PTET Hindi,शुद्ध शब्द कौन सा है?,शृंगार,श्रंगार,श्रृंगार,शिंगार,a (शृंगार - री की मात्रा)
PTET Hindi,जो कभी न मरे?,अमर,अजर,शाश्वत,नश्वर,a
PTET Hindi,निर्धन में संधि है?,विसर्ग,व्यंजन,स्वर,अयादि,a
PTET Hindi,यथासंभव में समास है?,अव्ययीभाव,तत्पुरुष,कर्मधारय,द्विगु,a
PTET Hindi,कपड़ा का पर्यायवाची?,वसन,पावक,गगन,अंबु,a
PTET Hindi,उपकार का विलोम?,अपकार,परोपकार,भलाई,निंदा,a
PTET Hindi,दाँत खट्टे करना?,हराना,खट्टा खाना,नाराज करना,जीतना,a
PTET Hindi,रामायण का संधि विच्छेद?,राम + आयन,राम + अयन,रामा + अयन,राम + एन,b
PTET Hindi,नीलकमल में समास है?,कर्मधारय,बहुव्रीहि,तत्पुरुष,द्विगु,a
PTET Hindi,पहाड़ का पर्यायवाची?,गिरि,सरित,जलधि,कानन,a
PTET Hindi,पराजय में उपसर्ग है?,परा,पर,प,जय,a
PTET Hindi,टस से मस न होना?,स्थिर रहना (विचलित न होना),भाग जाना,लड़ाई करना,झुक जाना,a
PTET Hindi,विद्यार्थी में संधि है?,दीर्घ,गुण,वृद्धि,यण,a
PTET Hindi,माता-पिता में समास है?,द्वंद्व,द्विगु,तत्पुरुष,कर्मधारय,a
PTET Hindi,जंगल का पर्यायवाची?,विपिन,नदी,पर्वत,नगर,a
PTET Hindi,हर्ष का विलोम?,शोक,खुशी,उल्लास,आनंद,a
PTET Hindi,लोहे के चने चबाना?,कठिन कार्य करना,भूखा रहना,चना खाना,युद्ध करना,a
PTET Hindi,नमस्ते का संधि विच्छेद?,नमः + ते,नम + स्ते,नमस + ते,नमो + ते,a
PTET Hindi,आजन्म में समास है?,अव्ययीभाव,तत्पुरुष,कर्मधारय,बहुव्रीहि,a
PTET Hindi,ईमानदार में प्रत्यय है?,दार,आर,ईमान,र,a
PTET Hindi,आयात का विलोम?,निर्यात,यातायात,आगत,विगत,a
PTET Hindi,श्रीमान का शुद्ध रूप?,श्रीमान्,श्रीमान,सरीमान,श्रीमन,a
PTET Hindi,घोड़े बेचकर सोना?,निश्चिंत होना,व्यापार करना,नींद न आना,थक जाना,a
PTET Hindi,महौषध में संधि है?,वृद्धि,गुण,दीर्घ,यण,a
PTET Hindi,दशानन (रावण) में समास?,बहुव्रीहि,कर्मधारय,द्विगु,तत्पुरुष,a (जब विशेष अर्थ निकले तो बहुव्रीहि)
PTET Hindi,रात्रि का पर्यायवाची?,निशा,दिन,वासर,सवेरा,a
PTET Hindi,अधम का विलोम?,उत्तम,नीच,बुरा,साधारण,a
PTET Hindi,अक्ल का दुश्मन?,मूर्ख,बुद्धिमान,शत्रु,दोस्त,a
PTET Hindi,स्वागत में उपसर्ग है?,सु,स्व,स,स्वा,a
PTET Hindi,सजावट में प्रत्यय है?,आवट,वट,टा,सज,a
PTET Hindi,मनोबल में संधि है?,विसर्ग,व्यंजन,स्वर,दीर्घ,a
PTET Hindi,पीतांबर में समास है?,बहुव्रीहि,द्वंद्व,द्विगु,तत्पुरुष,a
PTET Hindi,गंगा का पर्यायवाची?,भागीरथी,कालिंदी,यमुना,सरस्वती,a
PTET Hindi,संयोग का विलोम?,वियोग,अयोग,कुयोग,प्रयोग,a
PTET Hindi,बाल की खाल निकालना?,व्यर्थ दोष निकालना (बारीकी से छानबीन),बाल काटना,सफाई करना,लड़ाई करना,a
PTET Hindi,गिरीश का संधि विच्छेद?,गिरि + ईश,गिरी + ईश,गिर + ईश,गिरि + इश,a
PTET Hindi,घनश्याम में समास है?,कर्मधारय,तत्पुरुष,द्विगु,द्वंद्व,a (यदि बहुव्रीहि विकल्प में न हो)
PTET Hindi,सामाजिक में प्रत्यय है?,इक,क,समाज,अक,a
PTET Hindi,जो पहले कभी न हुआ हो?,अभूतपूर्व,अद्भुत,अनोखा,अपार,a
